station_triplet,station_id,name,state,network,lat,long,elevation_ft,huc,begin_date,end_date
650:ID:SNTL,650,Mountain Meadows,ID,SNTL,45.69694,-115.22972,6340.0,170603020301,1979-10-01,2100-01-01
651:OR:SNTL,651,Mt Hood Test Site,OR,SNTL,45.32097,-121.7158,5380.0,170800010302,1979-10-01,2100-01-01
653:OR:SNTL,653,Mt. Howard,OR,SNTL,45.26514,-117.17377,7840.0,170601050102,1979-10-01,2100-01-01
654:ID:SNTL,654,Mud Flat,ID,SNTL,42.6004,-116.55925,5750.0,170501041401,1979-10-01,2100-01-01
655:OR:SNTL,655,Mud Ridge,OR,SNTL,45.25362,-121.73673,4070.0,170800010302,1978-10-01,2100-01-01
656:MT:SNTL,656,Mule Creek,MT,SNTL,45.40957,-112.95927,8300.0,100200041303,1977-10-01,2100-01-01
657:MT:SNTL,657,N Fk Elk Creek,MT,SNTL,46.8716,-113.27725,6180.0,170102031204,1967-10-01,2100-01-01
660:OR:SNTL,660,New Crescent Lake,OR,SNTL,43.51185,-121.97982,4910.0,170703020205,1979-10-01,2100-01-01
661:WY:SNTL,661,New Fork Lake,WY,SNTL,43.11265,-109.94947,8380.0,140401020201,1984-10-01,2100-01-01
662:MT:SNTL,662,Nez Perce Camp,MT,SNTL,45.73107,-114.48075,5670.0,170102050204,1967-10-01,2100-01-01
664:MT:SNTL,664,Noisy Basin,MT,SNTL,48.15668,-113.9463,6070.0,170102080208,1961-04-01,2100-01-01
666:OR:SNTL,666,North Fork,OR,SNTL,45.5505,-122.00283,3070.0,170800010503,1978-10-01,2100-01-01
667:MT:SNTL,667,North Fork Jocko,MT,SNTL,47.27258,-113.75631,6110.0,170102120702,1961-04-01,2100-01-01
668:WY:SNTL,668,North French Creek,WY,SNTL,41.33087,-106.37558,10150.0,101800020502,1962-09-01,2100-01-01
670:MT:SNTL,670,Northeast Entrance,MT,SNTL,45.00568,-110.01411,7420.0,100700010602,1937-10-01,2100-01-01
671:OR:SNTL,671,Ochoco Meadows,OR,SNTL,44.42917,-120.3311,5430.0,170703050201,1979-10-01,2100-01-01
672:WA:SNTL,672,Olallie Meadows,WA,SNTL,47.37406,-121.44213,4010.0,171100100301,1979-10-01,2100-01-01
