,Adin Mtn,Agua Canyon,Albro Lake,Alexander Lake,Alpine Meadows
0,CA,UT,MT,AK,WA
1,"{'DOYmax_mk_results': Mann_Kendall_Test(trend='decreasing', h=True, p=0.08565112533729113, z=-1.718798189436275, Tau=-0.12947907256850347, s=-430.0, var_s=62296.666666666664, slope=-0.16666666666666666, intercept=81.75), 'Qmax_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.24786435511554616, z=1.1555522348814016, Tau=0.08702198133092443, s=289.0, var_s=62116.333333333336, slope=0.02333333333333331, intercept=13.355000000000002), 'Volbwdays_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.8310096580691151, z=0.21340682431943447, Tau=0.024390243902439025, s=20.0, var_s=7926.666666666667, slope=0.0031810483870967753, intercept=1.0919790322580647)}","{'DOYmax_mk_results': Mann_Kendall_Test(trend='increasing', h=True, p=0.006504664178944575, z=2.721193663559568, Tau=0.15306915306915306, s=1576.0, var_s=334998.0, slope=0.1095890410958904, intercept=57.16438356164384), 'Qmax_mk_results': Mann_Kendall_Test(trend='increasing', h=True, p=0.0011958468784798448, z=3.2398688517411993, Tau=0.18036130536130537, s=1857.0, var_s=328171.6666666667, slope=0.00852713178294574, intercept=6.69031007751938), 'Volbwdays_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.3242351019547285, z=0.9857921840528178, Tau=0.12688172043010754, s=59.0, var_s=3461.6666666666665, slope=0.00980666666666667, intercept=0.4638999999999999)}","{'DOYmax_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.45281779163079294, z=0.7507256355658543, Tau=0.07482993197278912, s=88.0, var_s=13430.0, slope=0.08893280632411067, intercept=117.86561264822134), 'Qmax_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.5804943703576053, z=-0.5526627420815057, Tau=-0.055272108843537414, s=-65.0, var_s=13410.333333333334, slope=-0.027525252525252557, intercept=21.96060606060606), 'Volbwdays_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.4418455025304515, z=0.7690805353212321, Tau=0.10344827586206896, s=42.0, var_s=2842.0, slope=0.012783458646616532, intercept=2.338431578947369)}","{'DOYmax_mk_results': Mann_Kendall_Test(trend='increasing', h=True, p=0.0007821641147922609, z=3.3590305803684246, Tau=0.4707692307692308, s=153.0, var_s=2047.6666666666667, slope=0.6666666666666666, intercept=89.66666666666667), 'Qmax_mk_results': Mann_Kendall_Test(trend='increasing', h=True, p=0.0019359962504177375, z=3.0998791368583993, Tau=0.4307692307692308, s=140.0, var_s=2010.6666666666667, slope=0.14666666666666675, intercept=7.466666666666667), 'Volbwdays_mk_results': Mann_Kendall_Test(trend='increasing', h=True, p=0.012731364269923606, z=2.4911966213168735, Tau=0.6, s=33.0, var_s=165.0, slope=0.10078571428571428, intercept=0.5908714285714286)}","{'DOYmax_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.13179082633178862, z=-1.5070773711523429, Tau=-0.16463414634146342, s=-135.0, var_s=7905.666666666667, slope=-0.30434782608695654, intercept=114.08695652173913), 'Qmax_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.8572517140187408, z=0.17987371115670645, Tau=0.020731707317073172, s=17.0, var_s=7912.333333333333, slope=0.04999999999999996, intercept=58.4), 'Volbwdays_mk_results': Mann_Kendall_Test(trend='no trend', h=False, p=0.9187737391879132, z=-0.10197850179856735, Tau=-0.015053763440860216, s=-7.0, var_s=3461.6666666666665, slope=-0.01558571428571425, intercept=7.122785714285714)}"
